Date,Close,High,Low,Open,Volume
2025-10-16,2878.628662109375,2882.7954389661986,2851.8842144350965,2877.8534092983937,3251495
2025-10-17,2870.391845703125,2896.1675207642234,2863.8025522629873,2877.950145926403,4374683
2025-10-20,2921.749267578125,2929.307567962745,2886.186765192536,2892.9698128193104,3133039
2025-10-21,2913.512939453125,2937.8351067763124,2903.1446131495227,2937.1568492749448,310644
2025-10-23,2977.95166015625,3001.983076189401,2942.001649703373,2960.3157836535247,5564758
2025-10-24,2968.26171875,2994.231149497321,2963.513679841537,2984.541081052346,2684318
2025-10-27,2989.2890625,2998.300873295387,2965.3546412157716,2971.4594315335457,1946312
2025-10-28,2963.1259765625,2994.424945391891,2945.974602490029,2980.6650953225503,3470737
2025-10-29,2962.83544921875,2980.665080689528,2951.691870406029,2963.125962015583,2895420
2025-10-30,2941.2265625,2968.843257944529,2938.804045355743,2954.598904451086,2241536
2025-10-31,2963.222900390625,2972.3314700068563,2931.342670159881,2940.9357431934422,1868085
2025-11-03,2923.300048828125,2963.2230855965854,2916.7107546258085,2952.467014430014,2194877
2025-11-04,2897.524169921875,2935.4124315282234,2883.7643202783443,2926.01311261092,2670720
2025-11-06,2917.58251953125,2930.2766034150336,2897.3303717628805,2897.427367073782,2542721
2025-11-07,2899.074951171875,2910.896788283535,2868.7449872547954,2907.989767522932,1830520
2025-11-10,2931.439453125,2953.4358611387806,2899.2684732632038,2900.237480105872,1556656
2025-11-11,2952.56396484375,2960.9942773891976,2924.462765309628,2950.6259510827763,2806868
